section_id,section_name,instructor_id,course_id
1,Section A,1,1
2,Section B,2,2
3,Section C,3,3
4,Section D,4,4
5,Section E,5,5
6,Section F,6,6
7,Section G,7,7
8,Section H,8,8
9,Section I,9,9
10,Section J,10,10
11,Section K,11,11
12,Section L,12,12
13,Section M,13,13
14,Section N,14,14
15,Section O,15,15
16,Section P,16,16
17,Section Q,17,17
18,Section R,18,18
19,Section S,19,19
20,Section T,20,20
21,Section U,21,21
22,Section V,22,22
23,Section W,23,23
24,Section X,24,24
25,Section Y,25,25
26,Section Z,26,26
27,Section AA,27,27
28,Section AB,28,28
29,Section AC,29,29
30,Section AD,30,30
31,Section AE,31,31
32,Section AF,32,32
33,Section AG,33,33
34,Section AH,34,34
35,Section AI,35,35
36,Section AJ,36,36
37,Section AK,37,37
38,Section AL,38,38
39,Section AM,39,39
40,Section AN,40,40
41,Section AO,41,41
42,Section AP,42,42
43,Section-A,43,43
44,Section-B,44,44
45,Section-C,45,45
46,Section-D,46,46
47,Section-E,47,47
48,Section-F,48,48
49,Section-G,49,49
50,Section-H,50,50
51,Section-I,51,51
52,Section-J,52,52
53,Section-A,53,53
54,Section-B,54,54
55,Section-C,55,1
56,Section-D,56,2
57,Section-E,57,3
58,Section-F,1,4
59,Section-G,2,5
60,Section-H,3,6
61,Section-I,4,7
62,Section-J,5,8
63,Section-A,6,9
64,Section-B,7,10
65,Section-C,8,11
66,Section-D,9,12
67,Section-E,10,13
68,Section-F,11,14
69,Section-G,12,15
70,Section-H,13,16
71,Section-I,14,17
72,Section-J,15,18